bus_id,x,y,v_nom,state,county,balancing_area,nerc_reg,reeds_ba,sub_id,load_mean_mw,load_peak_mw,n_lines,total_thermal_mva,max_line_mva,mean_line_length_km,solar_mean_cf,solar_p_nom_max_mw,wind_mean_cf,wind_p_nom_max_mw,renewable_cf_combined,renewable_potential_mw,lmp_mean,lmp_p95,lmp_std,lmp_spike_hrs,lmp_neg_hrs,renewable_sat,load_imbalance,congestion_score,lmp_score,composite,dominant_tech,lmp_p75,pct_protected,flood_risk,land_cost_k,land_cost_index,buildability
2020013,-123.803,39.2883,138.0,California,p06045,CISO-PGAE,WECC_CA,CISO,35834,0.0,0.0,3.0,353.02,187.2,24.960589090717594,0.24698053,50.57284885091714,0.6784547,361.90840201917206,0.4195702,412.4812508700892,34.597916049465724,145.87204491745115,59.867476326621535,23,5,100.0,0.0,100.0,52.800814942916276,65.56016298858326,Congestion Relief,39.320910476585695,36,1,100,67.9,Limited
2020014,-123.661,39.4902,138.0,California,p06045,CISO-PGAE,WECC_CA,CISO,35835,16.36493753004464,28.6397,3.0,623.29,233.36,28.671744190512545,0.2468053,13.402731509421196,0.338487,134.98843275710732,0.28347796,148.3911642665285,33.35821158941396,144.30620110858067,57.25066353564557,19,4,47.2,37.4,10.850270824508097,52.26499453903154,38.4930535304716,Congestion Relief,40.634530897534894,36,1,100,67.9,Limited
2020015,-123.696,41.109,138.0,California,p06023,CISO-PGAE,WECC_CA,CISO,35836,0.0,0.0,2.0,194.31,194.3,23.573500507676236,0.23877378,6.011420924872776,0.25367278,386.09488270960804,0.2447334,392.1063036344808,93.75,150.0,74.18030325702604,19,4,26.9,0.0,100.0,69.5908648318625,43.33317292822553,Congestion Relief,150.0,42,1,80,72.3,Limited
2020016,-123.696,41.109,138.0,California,p06023,CISO-PGAE,WECC_CA,CISO,35836,8.278945805196292,14.4887,1.0,0.01,0.01,0.0,0.23877378,6.011420924872776,0.25367278,386.09488270960804,0.2447334,392.1063036344808,12.5,127.49999999999969,42.349477692996,19,4,26.9,18.9,100.0,45.562154881913045,43.25243093823564,Congestion Relief,0.0,42,1,80,72.3,Limited
2020017,-123.564,39.8453,138.0,California,p06045,CISO-PGAE,WECC_CA,CISO,35837,0.0,0.0,3.0,472.73,239.36,24.10988118073853,0.24772008,269.41473289979484,0.33067843,319.1112416742835,0.28090343,588.5259745740784,21.482002208514842,131.1976228360307,41.597666188035255,19,4,45.9,0.0,100.0,47.879425267542445,45.6408855875661,Congestion Relief,29.530115661372747,36,1,100,67.9,Limited
2020018,-123.564,39.8453,138.0,California,p06045,CISO-PGAE,WECC_CA,CISO,35837,6.379552420739384,11.1646,1.0,0.01,0.01,0.0,0.24772008,269.41473289979484,0.33067843,319.1112416742835,0.28090343,588.5259745740784,0.0,-0.0,0.0,19,4,45.9,14.6,100.0,38.892057004165935,47.4934119348908,Congestion Relief,0.0,36,1,100,67.9,Limited
2020019,-123.436,39.4429,138.0,California,p06045,CISO-PGAE,WECC_CA,CISO,35838,0.0,0.0,4.0,557.71,202.73,19.85440754451526,0.24753699,95.92633321579606,0.2883883,146.04794332371898,0.2638775,241.97427653951505,35.62110308989503,147.16441027080782,62.11043830756224,19,4,36.9,0.0,100.0,53.24965687196103,43.56493133624524,Congestion Relief,38.56507855313801,36,1,100,67.9,Limited
2020020,-123.436,39.4429,138.0,California,p06045,CISO-PGAE,WECC_CA,CISO,35838,14.471573297470528,25.3262,1.0,0.01,0.01,0.0,0.24753699,95.92633321579606,0.2883883,146.04794332371898,0.2638775,241.97427653951505,43.75,150.0,69.64584322313048,19,4,36.9,33.0,100.0,55.999092910208006,52.36481854389463,Congestion Relief,150.0,36,1,100,67.9,Limited
2020021,-123.21,39.303,138.0,California,p06045,CISO-PGAE,WECC_CA,CISO,35839,6.548386929151883,11.4601,3.0,550.75,186.02,21.96361651120681,0.25315675,99.65142432415344,0.28433463,94.54742789664894,0.26562792,194.1988522208024,36.53900734750663,148.32379522523235,64.17968162701193,19,4,37.8,15.0,12.587265677059332,53.65684559189784,30.228821796027763,Congestion Relief,40.53201791069725,36,1,100,67.9,Limited
2020022,-123.219,39.1828,345.0,California,p06045,CISO-PGAE,WECC_CA,CISO,35840,0.0,0.0,1.0,0.01,0.01,0.0,0.25321597,49.3506727277805,0.46135372,64.56189289498603,0.33647108,113.91256562276652,137.53888580714317,500.0,223.42812492950887,19,4,75.1,0.0,100.0,93.02784559995216,64.89056896740254,Congestion Relief,213.81822339766018,36,1,100,67.9,Limited
